symbol,n_days,n_filings,n_folds,auc_numeric,auc_tokens,auc_fusion,f1_numeric,f1_tokens,f1_fusion,brier_numeric,brier_tokens,brier_fusion,ece_numeric,ece_tokens,ece_fusion,delta_auc_tok_num,delta_auc_fus_tok,delta_f1_tok_num,delta_f1_fus_tok,delta_brier_tok_num,delta_brier_fus_tok,delta_ece_tok_num,delta_ece_fus_tok,tok_beats_num,fus_beats_tok,full_hypothesis
AXISBANK,2452,2135,56,0.5221265842539683,0.5191481715415497,0.5085272628180202,0.41134781062061176,0.39531909420486416,0.42757357505430643,0.2751212060155099,0.2721816369014309,0.26730201120948943,0.16554975578093972,0.1538022136400403,0.15653728001173198,-0.00297841271241861,-0.010620908723529499,-0.0160287164157476,0.03225448084944227,-0.0029395691140789992,-0.004879625691941447,-0.01174754214089943,0.0027350663716916856,False,False,False
CANBK,2452,941,56,0.4720886383839066,0.5000533722070569,0.5084174859232816,0.4177821216863641,0.4339383259078036,0.4516552114949911,0.2709943084851866,0.27688698678580104,0.27431417773960687,0.16452430979413882,0.1591247863471516,0.16166592510328653,0.027964733823150345,0.008364113716224697,0.01615620422143954,0.01771688558718748,0.005892678300614462,-0.002572809046194169,-0.005399523446987214,0.002541138756134931,True,True,True
TATAPOWER,2453,114,56,0.5183948927355984,0.5192345988571464,0.5084048626850172,0.4449937737366697,0.42743977727698607,0.42430267285496276,0.2622607956510386,0.2705206602830156,0.2712060456179083,0.13705716876816135,0.1594448469458067,0.15181354277103415,0.000839706121548045,-0.010829736172129234,-0.01755399645968364,-0.003137104422023307,0.008259864631976976,0.0006853853348927075,0.022387678177645365,-0.007631304174772563,True,False,False
KOTAKBANK,2452,398,56,0.5075282444115076,0.5164794693882666,0.5078654415887384,0.4131380047614695,0.4202477422023931,0.44820683831197844,0.26371077072397153,0.26491947890008255,0.2683192441443749,0.1304987734926031,0.13760392100596727,0.1348421042696573,0.008951224976759042,-0.008614027799528245,0.00710973744092358,0.027959096109585357,0.0012087081761110174,0.003399765244292363,0.007105147513364163,-0.0027618167363099855,True,False,False
ADANIENSOL,2452,754,56,0.5176343982591928,0.5257595065711049,0.5077208043060589,0.3635862215426821,0.36279813226575885,0.3887038901112286,0.2705292001566147,0.2726162396332347,0.2686675238945107,0.16325200387928065,0.17121116027246522,0.16803205000535762,0.008125108311912155,-0.018038702265046003,-0.0007880892769232539,0.025905757845469723,0.002087039476620034,-0.003948715738724018,0.007959156393184563,-0.003179110267107599,True,False,False
ADANIENT,2452,1029,56,0.5097230089317734,0.5251869786963175,0.5076404078697978,0.4345256159409451,0.3988135264608533,0.424488425990015,0.27269635255832275,0.27634123664082955,0.276724525647462,0.17352181014649995,0.16718434485044362,0.17691867053440496,0.015463969764544117,-0.01754657082651967,-0.0357120894800918,0.025674899529161743,0.003644884082506794,0.0003832890066324812,-0.006337465296056333,0.009734325683961348,True,False,False
ADANIGREEN,1845,815,42,0.5093123640482234,0.49049718544417364,0.5073509343484803,0.4135999109311574,0.36400913347538233,0.37656177460476803,0.2788691326628133,0.2649670212947624,0.2657862646710212,0.18240014005775165,0.15036310767447242,0.16922462856838288,-0.018815178604049798,0.016853748904306687,-0.04959077745577506,0.0125526411293857,-0.013902111368050918,0.0008192433762587714,-0.032037032383279235,0.018861520893910466,False,True,False
SHREECEM,2452,102,56,0.5240374175326018,0.5098510282902412,0.5071716662676826,0.4473488399029219,0.39577005860011244,0.380850816394127,0.2662749473770865,0.27158442314727405,0.27268625293748844,0.1543882583689664,0.16301039159137215,0.16589602605914325,-0.014186389242360598,-0.0026793620225585846,-0.05157878130280946,-0.01491924220598545,0.005309475770187533,0.0011018297902143925,0.008622133222405737,0.0028856344677710977,False,False,False
PIDILITIND,2452,407,56,0.512623860470221,0.5132650055193501,0.5070894374433302,0.4291875583657598,0.4832107955526754,0.47353765065783593,0.26780641012243334,0.27137533615722914,0.2708217524689688,0.15084474068304524,0.1432500413995838,0.15321727652947606,0.0006411450491290438,-0.006175568076019822,0.054023237186915596,-0.009673144894839447,0.003568926034795805,-0.0005535836882603618,-0.007594699283461431,0.009967235129892255,True,False,False
VBL,2246,86,51,0.498509081800113,0.5133812089501869,0.5070170563963758,0.39819892649017974,0.38199496426419305,0.40038851888172294,0.2679558310663442,0.2742469687878493,0.2773828435681944,0.1326217615016338,0.1430810211684224,0.16030840270775082,0.01487212715007391,-0.006364152553811064,-0.01620396222598669,0.018393554617529895,0.006291137721505136,0.003135874780345105,0.010459259666788595,0.01722738153932843,True,False,False
