fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
12,numeric_tokens,test,0.4898463085368213,0.4973684309648178,0.0,0.25623264691459685,0.07685234191715497,3794,0.5050079226493835,0.9724116292169899,0.08866445673672518
13,numeric_tokens,test,0.516401708163124,0.5061689292167785,0.524812030075188,0.2501659925912322,0.0029288595619455684,3914,0.4994890093803406,-0.26285374927732624,0.6631972980898041
14,numeric_tokens,test,0.5060334993725997,0.5178018774594291,0.0,0.25001216670148346,0.012592069108172566,3554,0.512099027633667,,
15,numeric_tokens,test,0.5146010817335591,0.49428296519712256,0.6046002190580504,0.25070264520706703,0.030571812194459785,3644,0.48600438237190247,-0.5844730702415593,0.7751188503358291
16,numeric_tokens,test,0.530556548244692,0.49165401268891135,0.349420127197905,0.2479938048834664,0.03781983947425718,3919,0.45292165875434875,2.4009914602433597,-0.719582155732402
17,numeric_tokens,test,0.5159058219497941,0.4955726577856797,0.034502587694077054,0.2503578898389231,0.02800966876556923,3465,0.48253968358039856,-0.5793805141340218,0.7254422514125459
18,numeric_tokens,test,0.5141749102043219,0.5131124641979696,0.0,0.25037110906052434,0.019360928003560374,3686,0.5018990635871887,,
19,numeric_tokens,test,0.5118302749881697,0.5172096316400785,0.5138148327678138,0.2500666920167683,0.012692685920746172,4055,0.5127003788948059,0.28129101030779596,0.37105863483235313
20,numeric_tokens,test,0.528924168553613,0.42521172971994287,0.5521932911095473,0.2531680534267703,0.11448991937731731,3496,0.4033180773258209,-0.3813128180713421,0.5746276354262091
21,numeric_tokens,test,0.4935474781628628,0.5384631529041551,0.0,0.267749226491849,0.1401415805134254,3588,0.54347825050354,,
22,numeric_tokens,test,0.5138532880256904,0.519515055934652,0.6744633130406921,0.25095123993398366,0.033141673198200265,4140,0.508695662021637,-2.9443837202556624,2.104488200732405
23,numeric_tokens,test,0.506784315839933,0.4864059594950877,0.643952907599001,0.25086569497605526,0.03601127764868492,3864,0.4821428656578064,0.9141034709100657,0.03422476711249278
24,numeric_tokens,test,0.4921911713669646,0.55319370449183,0.0,0.2522503332011314,0.07194020714355798,3772,0.5540826916694641,,
25,numeric_tokens,test,0.5167293346038614,0.5432443098524107,0.6956521739130435,0.24931870962380287,0.02074076022893845,3870,0.5333333611488342,,
26,numeric_tokens,test,0.49831775971093034,0.4922484994173081,0.6621037463976945,0.25157166065405945,0.038513604987066234,3720,0.4959677457809448,-0.6981346741546426,0.8687890767607921
27,numeric_tokens,test,0.4930383301488044,0.5478288978618964,0.32025227750525576,0.250801824094087,0.04793802396928732,3730,0.5415549874305725,0.22532610717633972,0.4302139345545432
28,numeric_tokens,test,0.49473603233683877,0.4566939466184697,0.6324728260869565,0.2547804412366104,0.07571339522701138,4042,0.46313706040382385,0.18959268877887067,0.31856347362237847
29,numeric_tokens,test,0.4832677012799543,0.5318713496655167,0.0,0.2543460296765356,0.07738255796932425,3948,0.5405268669128418,,
30,numeric_tokens,test,0.5244085998684127,0.5081660041733143,0.6604684426962274,0.2528814269429452,0.052007517801717494,3760,0.4933510720729828,0.7474835967654724,0.02703959362299757
31,numeric_tokens,test,0.49347831996937536,0.5051540839667368,0.0,0.25016915965952846,0.01604649634265254,4042,0.509401261806488,,
32,numeric_tokens,test,0.48063502517649503,0.5236858291716575,0.6231276213301378,0.25059146248643654,0.02260904839913353,3854,0.5313959717750549,-0.5874066569477877,0.8302607232939843
33,numeric_tokens,test,0.49942228854194587,0.4404033556628155,0.6092102829665249,0.2548745206839154,0.0933576926036852,3760,0.4380319118499756,,
34,numeric_tokens,test,0.48454660287286216,0.5408852285755277,0.00530035335689046,0.2613776672462155,0.11732696038361051,4077,0.552121639251709,-1.1362752550494968,1.0465544974595824
35,numeric_tokens,test,0.491177609242472,0.4914498805662293,0.6488413547237076,0.2547248575313364,0.06858715675708141,3895,0.49242618680000305,-0.7840346734072892,0.9592329119386864
36,numeric_tokens,test,0.5039381320642474,0.5255874834304066,0.0,0.2504558855574525,0.033888147242484346,3895,0.5263158082962036,,
37,numeric_tokens,test,0.4778109462790571,0.455547435696015,0.6392405063291139,0.2522837623918229,0.056546744492341205,4085,0.4697674512863159,,
38,numeric_tokens,test,0.5343642380935142,0.5006830427415131,0.0,0.24959830750609627,0.008506301425324436,3705,0.47827261686325073,,
39,numeric_tokens,test,0.4894275484432645,0.5681154436256327,0.0626322471434617,0.25378091690409244,0.09725836202788267,3895,0.5727856159210205,-0.11981577026739013,0.5103641579723275
40,numeric_tokens,test,0.5099444975835682,0.5281190502081727,0.685337726523888,0.2521041665271057,0.052778085386408456,3990,0.5213032364845276,6.808921334948556,-3.379736093894251
41,numeric_tokens,test,0.5220837231762895,0.5186007556515224,0.6655178356022747,0.2501774084290704,0.021143540288724977,3904,0.5007684230804443,1.8541357025887997,-0.4669272043968484
42,numeric_tokens,test,0.5100683357625563,0.5565003750867153,0.7109873915179302,0.2499228619129491,0.05082189618523869,3936,0.5515751838684082,,
43,numeric_tokens,test,0.5296096415582469,0.5685762437284209,0.7061143984220908,0.24793706450635747,0.005820664112051066,3936,0.5457317233085632,,
44,numeric_tokens,test,0.5078656844771535,0.533949702508983,0.6913666550157288,0.24950111803849712,0.017419897544326157,3744,0.5283119678497314,,
45,numeric_tokens,test,0.5082721548466856,0.536792470356676,0.6903137789904502,0.24926584097257987,0.0012453917224516386,3840,0.5270833373069763,,
46,numeric_tokens,test,0.4933355884149057,0.492277458999619,0.6603608337712384,0.25137166430254093,0.02080731979567865,3936,0.5043191313743591,-0.9980320314764376,0.9897883315610154
47,numeric_tokens,test,0.503205588145536,0.5064481579309933,0.6678230702515178,0.25000728660660543,0.003019871905088789,3840,0.5013020634651184,,
48,numeric_tokens,test,0.4949637991658394,0.4699712636937512,0.5615503193129266,0.2510621274832784,0.04230140420568096,3846,0.4667186737060547,-0.3832342702546106,0.6619311295048396
49,numeric_tokens,test,0.4954173133068534,0.43978360930726323,0.0124804992199688,0.24748832394589484,0.023657194988690386,4268,0.44189316034317017,-0.3200334915445095,0.527707463894537
50,numeric_tokens,test,0.5298079505537612,0.5178391555997571,0.0,0.25205462162155623,0.05077203198355895,3686,0.4915897846221924,0.21256107718180542,0.39788909187125804
51,numeric_tokens,test,0.5225334457670024,0.5802182003354108,0.2002241314904744,0.2509266126400533,0.075888027610078,3880,0.5685567259788513,0.018602808384362,0.5593916787454399
52,numeric_tokens,test,0.48879140206297783,0.44449854009101175,0.6231301270709345,0.2612085410046882,0.11600383218588572,4280,0.4525700807571411,,
53,numeric_tokens,test,0.4840369140342272,0.49596350584209437,0.02912621359223301,0.2541426807518016,0.06314253931357053,3920,0.5066326260566711,-1.8467233150900038,1.3503532637876736
54,numeric_tokens,test,0.46735010580895403,0.4680459334285315,0.6332335329341318,0.25041782489575465,0.021759986258417643,3822,0.48482468724250793,-0.18524553447899578,0.5786672422580289
55,numeric_tokens,test,0.5208790211652327,0.5111160381970903,0.2897727272727273,0.24948292547914744,0.005863616796099239,3072,0.490234375,0.6202709373202309,0.18852190423227622
0,ts_text_fusion,test,0.5288230545127985,0.5014609153254047,0.5199516324062878,0.24935657439151257,0.029694020813504866,3259,0.4700828492641449,1.1465397696610522,-0.10282363404357697
1,ts_text_fusion,test,0.48930423690576763,0.5066222597778154,0.06572295247724974,0.2518909914945331,0.038962724826827,3652,0.5082146525382996,0.32628212072186835,0.3582235644498485
2,ts_text_fusion,test,0.5146930370985604,0.5301060520717485,0.6322323209931279,0.2496691826680038,0.005409073103290894,3400,0.5058823823928833,3.0063691262162857,-0.9978950385878005
3,ts_text_fusion,test,0.5204605529384908,0.4994094537270486,0.6546310832025117,0.2498858462028062,0.015848377096061236,3513,0.48989468812942505,3.8394889553630023,-1.4519001971606238
4,ts_text_fusion,test,0.5155051881283388,0.522248924997502,0.3484903601309567,0.25043048422923614,0.022448773651866614,3570,0.5123249292373657,-0.6221985475012112,0.8266987661611291
5,ts_text_fusion,test,0.5040966854015922,0.48586976083230593,0.6001373311970702,0.2507542923958753,0.028360629314089,3485,0.4849354326725006,0.7674959220796365,0.09098280031226891
6,ts_text_fusion,test,0.5176422540336229,0.49623109330749604,0.06522882693319305,0.24946671307358345,0.004351939989946367,3704,0.4797516167163849,0.9793493572380381,0.005645109671231552
