fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
2,numeric_tokens,test,0.5366244798890429,0.5378049605633393,0.6405228758169934,0.2531687706210412,0.0716523365957428,215,0.4790697693824768,1.3119737500034303,-0.22517032272873438
3,numeric_tokens,val,0.5637755102040816,0.5571235356907766,0.5714285714285714,0.24668107422796431,0.012883519399950848,200,0.5099999904632568,0.5129770169665139,0.26706292985449215
3,numeric_tokens,test,0.5215595497458243,0.5134623616930364,0.547085201793722,0.2522472035301836,0.03912188680188957,210,0.48571428656578064,0.7078746555562877,0.11993016136409529
4,numeric_tokens,val,0.5318134535367545,0.502659237143655,0.40476190476190477,0.24862912103033832,0.0021317249754828392,215,0.4790697693824768,1.0867578816779884,-0.04158365754272786
4,numeric_tokens,test,0.5973076107695569,0.5207816696969145,0.35555555555555557,0.24570866046256304,0.015760314915414367,195,0.4564102590084076,1.341515094990271,-0.17597032339115126
5,numeric_tokens,val,0.49505265068990567,0.4896716693213233,0.0,0.2497787841901131,4.257878509944524e-05,210,0.48571428656578064,1.0,0.0
5,numeric_tokens,test,0.4472477064220184,0.550220315934757,0.0,0.2534164073882212,0.10402501052458629,185,0.5891891717910767,1.0,0.0
6,numeric_tokens,val,0.5271358914564341,0.48662971806069794,0.23008849557522124,0.24727426384932832,0.016673142917619864,195,0.4564102590084076,0.9006426532557006,0.06886916325267745
6,numeric_tokens,test,0.538032244729227,0.6087926973995329,0.38323353293413176,0.2574791068173261,0.1314331282087324,200,0.5899999737739563,1.1583145288132668,0.06035207978099677
7,numeric_tokens,val,0.5569169483341381,0.6381312184227603,0.7414965986394558,0.24098216705759742,0.015836571497604996,185,0.5891891717910767,1.6930659106446517,-0.4083513701152488
7,numeric_tokens,test,0.4967355371900827,0.4961792078712944,0.6666666666666666,0.25932505580938925,0.08817692844771345,220,0.5,0.715989505892964,0.07887148977635189
8,numeric_tokens,val,0.6133732947498967,0.7115796796326117,0.7183098591549296,0.23551032097959224,0.03091876719580923,200,0.5899999737739563,0.9596146684753112,0.0835984247375764
8,numeric_tokens,test,0.5194613457408732,0.42902294488502934,0.5296442687747036,0.2742402390571923,0.17254237959855204,215,0.40930232405662537,-0.3285550616516271,0.589697822616252
9,numeric_tokens,val,0.5316115702479339,0.5129907255259253,0.5676855895196506,0.24889713483696008,0.022031376467910205,220,0.5,1.7877146754317845,-0.39385654538531
9,numeric_tokens,test,0.5044267981014969,0.3815435417260136,0.3333333333333333,0.24901266704437255,0.10526542046814097,215,0.38604649901390076,-0.38497403751022585,0.5751888486519996
10,numeric_tokens,val,0.5500626342161775,0.4440433144931781,0.0,0.2405465395099777,0.03146349723632273,215,0.40930232405662537,2.1993712887307204,-0.4907711100519825
10,numeric_tokens,test,0.4855050505050505,0.4335792721343574,0.0,0.25125856666961227,0.04330589184073257,200,0.44999998807907104,-0.16285733999650007,0.5162331052260682
11,numeric_tokens,val,0.5894487039065353,0.46673382957647364,0.1782178217821782,0.23128395940121452,0.02139962042623582,215,0.38604649901390076,1.0969175667554423,-0.05669767315681273
11,numeric_tokens,test,0.4646464646464646,0.4846305983861593,0.26153846153846155,0.2718440038625868,0.136464062634711,195,0.4923076927661896,-0.17096130055886893,0.5608763070125302
12,numeric_tokens,val,0.60010101010101,0.5340907011315339,0.4,0.24173662497351775,0.01648870093143621,200,0.44999998807907104,1.4033591418797764,-0.19521909592297582
12,numeric_tokens,test,0.5897129186602871,0.5933500805222116,0.3741935483870968,0.25502409079473803,0.11743996284274844,205,0.5365853905677795,1.6414520299001651,-0.18147916391018615
13,numeric_tokens,val,0.5319339225589226,0.5171121441962515,0.5592417061611374,0.24924369864187018,0.0015015767466845108,195,0.4923076927661896,1.0655474237775775,-0.032286926182085396
13,numeric_tokens,test,0.5088282504012841,0.5066917039595182,0.593607305936073,0.2499257713131331,0.011591375630972803,180,0.5055555701255798,0.1831257564715673,0.4141580684215084
14,numeric_tokens,val,0.5741626794258372,0.5756406584666699,0.671875,0.24126100370330889,0.05023587866678795,205,0.5365853905677795,1.4066613187719823,-0.22708272298783327
14,numeric_tokens,test,0.5190100430416069,0.462038468930676,0.5476190476190477,0.28213103406758305,0.1343328831053283,75,0.4533333480358124,0.14559380563306462,0.3953826705995802
0,ts_text_fusion,val,0.5418353576248313,0.6106377621880212,0.7147540983606557,0.24512776033257688,0.024828241516842074,205,0.5560975670814514,1.6324244465491133,-0.39430700699251575
0,ts_text_fusion,test,0.4941289604210952,0.5593097017455351,0.7100977198697068,0.2484986533139935,0.01584990655761933,200,0.5550000071525574,-0.15968824313870422,0.6452746791567319
1,ts_text_fusion,val,0.5210393435724805,0.5095651506724336,0.49740932642487046,0.24980248138740652,0.004248704451032545,195,0.49743589758872986,0.37274899603918776,0.3120240678640599
1,ts_text_fusion,test,0.521858743497399,0.5121815210916982,0.5982905982905983,0.2500402164765342,0.024996401797911228,200,0.5099999904632568,5.235783565303389,-2.1060095285465876
2,ts_text_fusion,val,0.5591152950703513,0.5821250995110107,0.6884057971014492,0.244120686180732,0.030290603234535016,200,0.5550000071525574,0.7911236867903236,0.10514585417465372
2,ts_text_fusion,test,0.5366244798890429,0.5378049605633393,0.6405228758169934,0.2531687706210412,0.0716523365957428,215,0.4790697693824768,1.3119737500034303,-0.22517032272873438
3,ts_text_fusion,val,0.6014905962384953,0.5991314706706526,0.6266094420600858,0.24484238635759487,0.03242623914123602,200,0.5099999904632568,2.041900174543168,-0.5342299048066717
3,ts_text_fusion,test,0.4672294843863471,0.475972854581473,0.4716981132075472,0.253463291051566,0.06831173247650463,210,0.48571428656578064,-0.9351406570838326,0.9544751872284962
4,ts_text_fusion,val,0.5461598474341192,0.5201049114749083,0.28776978417266186,0.2482378774255045,0.015150765425334646,215,0.4790697693824768,2.444955655121441,-0.6922827772335121
4,ts_text_fusion,test,0.5483358066567734,0.4787678703750084,0.09523809523809523,0.24763802171382404,0.01725894276569874,195,0.4564102590084076,-3.2992236865002904,2.0155531076587714
