roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept,fold,variant,subset,n
0.5174450246193106,0.5248695184100388,0.42136498516320475,0.2501612769812087,0.02187864148710907,3570,0.5123249292373657,0.4620823990398497,0.2888745256776244,4,gb_M4a_cat_early,all_days,3570
0.5185908631308025,0.4976906068400859,0.3853658536585366,0.2503011380236843,0.01269991508721826,511,0.49510762095451355,0.0004947086175825788,0.4979605191296146,4,gb_M4a_cat_early,filing_days,511
0.46508938102037856,0.4869596518523552,0.0010893246187363835,0.25054353477725017,0.023955729939228152,3570,0.5123249292373657,-15.107955774948923,7.913224552181833,4,lr_M4a_cat_early,all_days,3570
0.4479271991911021,0.46316214833856284,0.007692307692307693,0.2506487631547366,0.015537324702031409,511,0.49510762095451355,-14.46455166117969,7.5833210707220475,4,lr_M4a_cat_early,filing_days,511
0.4998756394284565,0.5122346646246375,0.0,0.25035110574430364,0.022428445677740494,3570,0.5123249292373657,,,4,gb_M4_cat_text_only,all_days,3570
0.49888163740539876,0.4938025096245252,0.0,0.250003082005795,0.005211923969432097,511,0.49510762095451355,,,4,gb_M4_cat_text_only,filing_days,511
0.5007012554450931,0.5125184888269217,0.002178649237472767,0.25044777516099376,0.023472531085419926,3570,0.5123249292373657,-6.122798749980901,3.5114877171764904,4,lr_M4_cat_text_only,all_days,3570
0.5029414468241566,0.4953044912349128,0.015384615384615385,0.250643624666666,0.011819933521552565,511,0.49510762095451355,-5.596881863414591,3.238500620653261,4,lr_M4_cat_text_only,filing_days,511
0.5155051881283388,0.522248924997502,0.3484903601309567,0.25043048422923614,0.022448773651866614,3570,0.5123249292373657,-0.6221985475012112,0.8266987661611291,4,M3_late_fusion,all_days,3570
0.5099963231914698,0.49528215374192797,0.324468085106383,0.2513668296334658,0.01448768329469789,511,0.49510762095451355,0.16184221114300396,0.41288424470831675,4,M3_late_fusion,filing_days,511
0.5155051881283388,0.522248924997502,0.3484903601309567,0.25043048422923614,0.022448773651866614,3570,0.5123249292373657,-0.6221985475012112,0.8266987661611291,4,M4b_cat_late_fusion,all_days,3570
0.5099963231914698,0.49528215374192797,0.324468085106383,0.2513668296334658,0.01448768329469789,511,0.49510762095451355,0.16184221114300396,0.41288424470831675,4,M4b_cat_late_fusion,filing_days,511
0.5023406569860395,0.48312958528414873,0.591476336237344,0.25120570257471375,0.031251372597542924,3485,0.4849354326725006,-0.5416631936989343,0.7555325414320175,5,gb_M1_numeric,all_days,3485
0.4717928614097968,0.4666489901572086,0.6025459688826026,0.25313080487673845,0.03329481815635442,567,0.4920634925365448,-3.6212586759052745,2.319350093715072,5,gb_M1_numeric,filing_days,567
0.5158151340838292,0.4917200020705117,0.5712158808933002,0.2513964350713421,0.029633451072322528,3485,0.4849354326725006,0.05688417443068304,0.42990959763102665,5,lr_M1_numeric,all_days,3485
0.49930306650736755,0.4877490526229174,0.5872093023255814,0.25246953657333526,0.04570016521791768,567,0.4920634925365448,1.1158654140440696,-0.17263510299808937,5,lr_M1_numeric,filing_days,567
0.5040966854015922,0.48586976083230593,0.6001373311970702,0.2507542923958753,0.028360629314089,3485,0.4849354326725006,0.7674959220796365,0.09098280031226891,5,gb_M2_num_tok,all_days,3485
0.46361011549183595,0.4623128897727739,0.6035665294924554,0.251599972300752,0.026788902488240975,567,0.4920634925365448,-0.5889621211371062,0.7951015716860228,5,gb_M2_num_tok,filing_days,567
0.5107164872838753,0.4896983920945216,0.5782608695652174,0.2514669544437847,0.0318392219145444,3485,0.4849354326725006,-0.4376001859372543,0.7101598454488043,5,lr_M2_num_tok,all_days,3485
0.48222819593787336,0.48499996993184724,0.5963938973647711,0.2528701534953926,0.04821962686228246,567,0.4920634925365448,-0.042233231452411694,0.5209874698081232,5,lr_M2_num_tok,filing_days,567
0.5007689011224473,0.4864439556943031,0.6531400966183575,0.2505233282635818,0.027389393128483208,3485,0.4849354326725006,,,5,gb_M3_text_only,all_days,3485
0.49118876941457584,0.49257487141019324,0.6595744680851063,0.25034803257941135,0.020260835972123803,567,0.4920634925365448,,,5,gb_M3_text_only,filing_days,567
